concepto_cleared,categoria,metodo_algoritmo,explicacion
costo directo obra,Contratos de construcción y urbanización,KEYWORD,
administracion,Servicios Generales,gemini-3.1-flash-lite-preview,"Concepto genérico sin descripción suficiente de la actividad, clasificado provisionalmente como servicios generales."
improvistos,Servicios Generales,gemini-3.1-flash-lite-preview,Concepto contable genérico sin actividad definida; clasificado provisionalmente en servicios generales hasta aclarar el objeto del gasto.
utilidad mas iva,Servicios Generales,gemini-3.1-flash-lite-preview,"Componente de un contrato sin detalle de la actividad principal, clasificado por defecto en servicios generales."
estudios diseños mas iva,Consultoría General/Administración Delegada (PJ),gemini-3.1-flash-lite-preview,Los estudios y diseños corresponden a labores intelectuales de asesoría y planeación prestadas usualmente por personas jurídicas.
formulario funes und,Compras Generales,gemini-3.1-flash-lite-preview,"Adquisición de insumos físicos o papelería de uso general, clasificados como compras corporales inventariables."
hojas foleo,Compras Generales,gemini-3.1-flash-lite-preview,Compra de insumos de papelería y suministros de oficina físicos.
caja acrilica,Compras Generales,gemini-3.1-flash-lite-preview,Adquisición de un bien mueble tangible de uso general.
interventoria proyectos paricipaci interventoria proyecto verdepino etapa correspondiente mes mes mes,Interventoría/Consultoría Ingeniería (Infraestructura),gemini-3.1-flash-lite-preview,Servicio especializado de supervisión técnica y control sobre proyectos de ingeniería o construcción.
empleados,DESCONOCIDO,gemini-3.1-flash-lite-preview,El término es ambiguo y no describe un servicio o bien facturado; requiere revisión manual.
servicio nomina electronica mes,Licencia/Derecho de Uso de Software,gemini-3.1-flash-lite-preview,"Pago recurrente por el uso de software o plataforma para la emisión y procesamiento de nómina electrónica, clasificado como derecho de uso de intangible digital."
cuota fija mensual,Servicios Generales,gemini-3.1-flash-lite-preview,Concepto indeterminado que representa un pago periódico sin especificar la naturaleza exacta del servicio o bien recibido.
cuota avance obra,Contratos de construcción y urbanización,gemini-3.1-flash-lite-preview,"Pago asociado al progreso o ejecución de etapas en proyectos de construcción, infraestructura o remodelación física."
ajuste peso,DESCONOCIDO,gemini-3.1-flash-lite-preview,"Ajuste contable por redondeo o diferencia en el valor de la factura, sin representar una transacción comercial o servicio."
suministro personal periodo mes gestion calidad osmt,Empresas de Servicios Temporales,gemini-3.1-flash-lite-preview,Suministro de personal en misión para cubrir actividades de gestión de calidad en la organización.
suministro personal periodo mes unidad legal osmt,Empresas de Servicios Temporales,gemini-3.1-flash-lite-preview,Suministro de personal en misión para cubrir funciones operativas en la unidad legal de la empresa.
suministro personal periodo mes operativa rda osmt,Empresas de Servicios Temporales,gemini-3.1-flash-lite-preview,"Indica el suministro o provisión de personal para actividades operativas, cumpliendo con la definición de empresas de servicios temporales."
suministro personal periodo mes tecnologia osmt,Empresas de Servicios Temporales,gemini-3.1-flash-lite-preview,"Indica el suministro de personal para actividades de tecnología, conforme a la categoría de empresas de servicios temporales."
suministro personal periodo mes talento humano osmt,Empresas de Servicios Temporales,gemini-3.1-flash-lite-preview,"Indica el suministro de personal para el área de talento humano, encuadrando en empresas de servicios temporales."
suministro personal periodo mes servicio cliente osmt,Empresas de Servicios Temporales,gemini-3.1-flash-lite-preview,"Indica el suministro de personal para labores de servicio al cliente, conforme a servicios temporales."
